Run/Change,WAF Color,WAF Category,What This Work Is,How to Decide (Tag Here If...),Representative Examples
Run,GRAY,KTLO (Keep the Lights On),"Non-discretionary, recurring work required to operate, secure, and support existing services. Failure creates immediate operational, security, or compliance risk.","Required to meet SLAs, legal, security, or risk obligations. Keeps existing services running safely and reliably. Does not introduce new business capability. Routine operational activity. Keeps model fit for use.","Emergency break-fix; Prod outages; Audit evidence gathering; Monitoring, backups, DR exercises; Control execution; Model recalibration (non-regulatory)."
Run,BLACK,Business Maintenance,"Run work driven by the business to keep existing capabilities accurate, efficient, and effective without introducing new functionality.","Maintains or optimizes existing business rules or processes. Driven by accuracy, usability, or efficiency. No new products or material outcome changes.","Configuration updates; Process support changes; Data quality fixes; Model performance monitoring."
Run,BLACK,Technical Maintenance,"Run work focused on technical health, stability, and efficiency of existing systems to reduce future KTLO.","Improves reliability, performance, or operability. Not regulation-driven. No new business functionality.","Tech debt reduction; Optimization; Tool consolidation; Runbook improvements; Platform upgrades."
Run,RED,Regulatory (Operational),"Non-discretionary run work required to maintain compliant systems or architecture, typically time-bound.","Explicitly required by regulation, audit, or risk authority. Operational in nature. No architectural redesign.","Regulatory reporting; Audit remediation (no redesign); HFM compliance."
Change,RED,Regulatory Mandated Change,"Non-discretionary change that materially alters systems, processes, data, or architecture due to mandates.","Required by regulator or audit. Requires redesign or transformation. Cannot be handled through KTLO.","FHFA credit score changes; SWIFT/UDD changes; Zero-trust security architecture."
Change,ORANGE,Enterprise Strategic Priority,"Discretionary change delivering strategic outcomes aligned to enterprise strategy.","Aligned to enterprise strategy. Multi-team coordination. Leadership-sponsored with measurable outcomes.","Loan Quality Center Transformation; AI Infrastructure Enablement; Loan Management future state."
Change,YELLOW,Top Divisional Priority,"Discretionary change critical to divisional strategy but not enterprise-wide.","Prioritized by division leadership. Divisional-level outcomes.","CDO Data & Services; Treasury Market Risk; TPES Digital Experience Transformation."
Change,GREEN,Other Blocked Priority,"Discretionary innovation work valuable but not urgent or tied to top priorities.","Can be deferred without material risk. Typically exploratory or small-scale.","Automation pilots; Training; Reporting enhancements; Incremental improvements; AI use-case exploration."
